timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-02 18:24:11,LSTM_kswin,linear_gradual_drift_4,,0.0245449308563788,0.0009707131593424,0.0311562699844266,12,1.70414400100708,0.1420120000839233,10,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted']",10,2,v12,12,1,11,2,0.0833333333333333,0.3333333333333333,0.1333333333333333,199.0,20.91633462905884
2026-03-02 18:24:12,ELM_kswin,linear_gradual_drift_4,,0.0417230743493806,0.0070318281892272,0.0838559967398113,18,0.0167582035064697,0.0009310113059149,12,"['promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held']",12,6,v17,18,3,15,0,0.1666666666666666,1.0,0.2857142857142857,55.333333333333336,0.9936649799346924
2026-03-02 18:32:30,PSO_LSTM_kswin,linear_gradual_drift_5,,0.0275980996728395,0.0014033240644787,0.0374609672122691,16,96.75682592391968,6.04730162024498,6,"['held', 'held', 'held', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'held', 'held']",6,10,v0,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,-43.0,120.66114234924316
2026-03-02 18:33:39,PSO_ELM_kswin,linear_gradual_drift_5,,0.0253982618135342,0.0011259924550663,0.0335558110476619,17,68.04231762886047,4.00248927228591,11,"['held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",11,6,v15,17,3,14,0,0.1764705882352941,1.0,0.3,63.0,69.00949311256409
2026-03-02 18:34:02,LSTM_kswin,linear_gradual_drift_5,,0.024427922708598,0.0009464382858397,0.0307642371242926,14,2.5886359214782715,0.1849025658198765,11,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held']",11,3,v13,14,1,13,2,0.0714285714285714,0.3333333333333333,0.1176470588235294,66.0,23.277913570404053
2026-03-02 18:34:03,ELM_kswin,linear_gradual_drift_5,,0.0667256525108586,0.0193644341870236,0.1391561503744038,16,0.0117387771606445,0.0007336735725402,13,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held']",13,3,v15,16,2,14,1,0.125,0.6666666666666666,0.2105263157894736,-68.5,1.2875161170959473
2026-03-02 18:42:46,PSO_LSTM_kswin,linear_gradual_drift_6,,0.0339356933420157,0.0041191061136349,0.0641802626485354,12,117.06224989891052,9.755187491575876,6,"['held', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted']",6,6,v0,12,1,11,2,0.0833333333333333,0.3333333333333333,0.1333333333333333,-170.0,142.46252608299255
2026-03-02 18:44:22,PSO_ELM_kswin,linear_gradual_drift_6,,0.0583173848098343,0.0329491886783068,0.1815191138098321,16,94.63285160064696,5.914553225040436,14,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held']",14,2,v15,16,3,13,0,0.1875,1.0,0.3157894736842105,-33.0,95.78435635566711
2026-03-02 18:44:41,LSTM_kswin,linear_gradual_drift_6,,0.0246689745729516,0.0009643688732784,0.0310542891285319,11,1.48785662651062,0.1352596933191472,10,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",10,1,v11,11,2,9,1,0.1818181818181818,0.6666666666666666,0.2857142857142857,91.5,19.681880474090576
2026-03-02 18:44:42,ELM_kswin,linear_gradual_drift_6,,0.0508286551816946,0.0059204963149303,0.0769447614521637,19,0.0172362327575683,0.0009071701451351,13,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held']",13,6,v14,19,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-11.0,0.7167937755584717
