timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,MAE,MSE,RMSE,MAPE
2026-03-15 22:24:59,RF_Baseline,GSPC,,0.0074705593134573,0.000127412363937,0.0112877085334891,20.39360383381202,1063.624210552282,32.61325206955421,0.007476630526539
2026-03-15 22:25:03,RF_Baseline,GSPC,,0.0074862146112415,0.0001282216477535,0.011323499801455,20.44411884776517,1069.139932549891,32.69770531015733,0.0074920535055535
2026-03-15 22:25:07,RF_Baseline,GSPC,,0.0075288750501759,0.0001292908565312,0.011370613727114,20.55959278165097,1082.406503605098,32.89994686325645,0.0075353241781558
2026-03-15 22:25:11,RF_Baseline,GSPC,,0.007512616621583,0.0001281629999139,0.0113209098536254,20.467202064095865,1066.568706460956,32.658363499430834,0.0075192042027003
2026-03-15 22:25:15,RF_Baseline,GSPC,,0.0074632205058256,0.0001275636075031,0.0112944060270195,20.36634137339442,1063.234295005547,32.607273651833374,0.0074695512560098
2026-03-15 22:25:19,RF_Baseline,GSPC,,0.0075176118746388,0.0001277647074748,0.0113033051571141,20.54237158288596,1078.0673297650694,32.83393564233611,0.0075243359085769
2026-03-15 22:25:23,RF_Baseline,GSPC,,0.0074802155393091,0.0001281529545613,0.0113204661812719,20.43409860958902,1077.2570310845272,32.821593975377354,0.0074865445535634
2026-03-15 22:25:27,RF_Baseline,GSPC,,0.0074814073625002,0.0001277518333609,0.0113027356582778,20.428953288249257,1072.342598387523,32.74664255137499,0.0074878192309091
2026-03-15 22:25:32,RF_Baseline,GSPC,,0.0074785573319023,0.0001265390230934,0.0112489565335394,20.43663733833232,1065.0677076514023,32.635375095920104,0.0074841905598338
2026-03-15 22:25:36,RF_Baseline,GSPC,,0.0075044903033714,0.0001282969554311,0.0113268245961162,20.481591304937524,1073.2447529806225,32.760414420159925,0.0075111314404675
2026-03-15 22:25:40,RF_Baseline,GSPC,,0.0074750510521051,0.0001253857438651,0.0111975775891536,20.40738924722101,1055.773789309036,32.492672855722965,0.0074808487757688
2026-03-15 22:25:44,RF_Baseline,GSPC,,0.0074823080699547,0.0001272564710199,0.0112808009919479,20.44633988924692,1066.8085928786634,32.66203595734141,0.007488637062987
2026-03-15 22:25:49,RF_Baseline,GSPC,,0.0075047152916205,0.0001289725850566,0.0113566097518885,20.49993848856746,1080.8529022555178,32.87632738393262,0.0075108824100138
2026-03-15 22:25:53,RF_Baseline,GSPC,,0.0075151053421408,0.0001279668914359,0.0113122451987175,20.491255391595413,1066.5487105080683,32.658057359678764,0.0075219473300523
2026-03-15 22:25:58,RF_Baseline,GSPC,,0.0074717219506744,0.0001255696544061,0.0112057866482526,20.408018485674976,1054.8936060474898,32.47912569709182,0.0074779729164098
2026-03-15 22:26:02,RF_Baseline,GSPC,,0.0075092263742438,0.000129296242413,0.0113708505580287,20.490449911274567,1078.5250550442222,32.840905210487456,0.0075159950724313
2026-03-15 22:26:07,RF_Baseline,GSPC,,0.0075009543662374,0.0001274216636144,0.0112881204642087,20.441192759006544,1063.8154750426788,32.61618425019516,0.0075071252730082
2026-03-15 22:26:11,RF_Baseline,GSPC,,0.007503892617576,0.0001295892168553,0.0113837259654027,20.493236835965057,1081.5525374771787,32.886966072855955,0.0075107381900561
2026-03-15 22:26:15,RF_Baseline,GSPC,,0.0075030084881279,0.0001277765513969,0.0113038290590842,20.492698252223416,1070.9324956691216,32.725104975677645,0.007509227738343
2026-03-15 22:26:20,RF_Baseline,GSPC,,0.0074970606162769,0.0001288253950848,0.0113501275360614,20.4552777127161,1072.696931376759,32.75205232312563,0.0075033008075886
2026-03-15 22:26:24,RF_Baseline,GSPC,,0.0075054575394156,0.00012821335628,0.0113231336775681,20.45114386646957,1065.0049484955416,32.63441356138549,0.0075110119179946
2026-03-15 22:26:28,RF_Baseline,GSPC,,0.0075062087961096,0.0001287148781455,0.0113452579585271,20.48845776287373,1076.517088614932,32.81031984932381,0.0075122712030197
2026-03-15 22:26:32,RF_Baseline,GSPC,,0.0074955819836175,0.0001274311793385,0.0112885419491856,20.478119377866275,1068.56423147936,32.68890073831422,0.007502533336485
2026-03-15 22:26:37,RF_Baseline,GSPC,,0.0074613435523829,0.0001262003653858,0.0112338935986538,20.38145605872901,1061.8186763761732,32.58555932274561,0.0074687208618523
2026-03-15 22:26:41,RF_Baseline,GSPC,,0.0075126926401491,0.0001283443187933,0.0113289151640124,20.529247968360234,1085.098883670504,32.940839146422846,0.0075194199936304
2026-03-15 22:26:46,RF_Baseline,GSPC,,0.0075121609865902,0.0001290856034854,0.0113615845499396,20.484146848993326,1075.624957327416,32.796721746653525,0.0075184680981121
2026-03-15 22:26:51,RF_Baseline,GSPC,,0.0074800219882257,0.0001263675430808,0.0112413319086676,20.42340678186984,1061.836204484881,32.58582827679666,0.0074866921488641
2026-03-15 22:26:55,RF_Baseline,GSPC,,0.0074408736576098,0.000125735046293,0.0112131639733431,20.351166872691994,1056.3085001018012,32.50089998910494,0.0074468503225743
2026-03-15 22:27:00,RF_Baseline,GSPC,,0.0074899119126098,0.0001279486986905,0.0113114410527829,20.430574592095816,1068.4339204322148,32.68690747734045,0.0074956631167086
2026-03-15 22:27:05,RF_Baseline,GSPC,,0.0074970372183638,0.0001266829166976,0.0112553505808409,20.512175598219383,1068.8527909690413,32.693314163128846,0.0075030660550939
2026-03-15 22:27:07,RF_Baseline,linear_gradual_drift_1,,0.0299377997496871,0.0023042539707634,0.0480026454558856,,,,
2026-03-15 22:27:08,RF_Baseline,linear_gradual_drift_2,,0.0218182853566958,0.000792964228035,0.0281596205236335,,,,
2026-03-15 22:27:09,RF_Baseline,linear_gradual_drift_3,,0.0260103779724655,0.0013765462351439,0.0371018360077224,,,,
2026-03-15 22:27:10,RF_Baseline,linear_gradual_drift_4,,0.0253644042553191,0.0014999023825657,0.0387285732059122,,,,
2026-03-15 22:27:11,RF_Baseline,linear_gradual_drift_5,,0.0281344017521902,0.0017181205045682,0.0414502171836072,,,,
2026-03-15 22:27:12,RF_Baseline,linear_gradual_drift_6,,0.0349717684605757,0.0032036272129787,0.0566005937511147,,,,
