timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_15,,1.7113654562519725,4.040453892679996,2.0100880310772453
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_16,,0.0610250442917686,0.0078056942407963,0.0883498400722737
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_17,,0.1764887870170362,0.0672206212361539,0.2592693989582147
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_18,,0.0860680909487148,0.0164360981214739,0.1282033467639359
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_19,,0.1085057940797287,0.037861606473706,0.194580591205048
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_20,,0.0627808360990435,0.0086629574373505,0.093075009735968
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_21,,0.1787865051824793,0.0554492336696755,0.2354766096020484
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_22,,0.2006617270335544,0.1082031279346433,0.3289424386342439
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_23,,0.0513671126214647,0.0054759650444363,0.0739997638133818
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_24,,0.2694538729933043,0.1156955591302607,0.3401404991033275
2026-03-16 19:43:08,ELM_Baseline,linear_abrupt_drift_25,,0.0841138940477412,0.021923286465398,0.1480651426413322
2026-03-16 19:43:09,ELM_Baseline,linear_abrupt_drift_26,,0.0704273642355305,0.0108782426579679,0.104298814269233
2026-03-16 19:43:09,ELM_Baseline,linear_abrupt_drift_27,,0.0609780871876167,0.0079029312499985,0.088898432213389
2026-03-16 19:43:09,ELM_Baseline,linear_abrupt_drift_28,,0.0574332145647116,0.0090294803166584,0.0950235776881635
2026-03-16 19:43:09,ELM_Baseline,linear_abrupt_drift_29,,0.9913228621891608,1.2405403532454804,1.1137954719092191
2026-03-16 19:43:09,ELM_Baseline,linear_abrupt_drift_30,,0.0550572043667727,0.0076872862981438,0.0876771709063643
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_1,,0.0211000684151054,0.0007453695383426,0.0273014567073388
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_2,,0.0192953237813859,0.0005862139656827,0.0242118558909209
2026-03-16 19:43:09,ELM_Baseline,nonlinear_gradual_drift_3,,0.0202422034628583,0.0006472534320949,0.0254411759180845
