timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay
2026-02-28 17:39:30,PSO_LSTM_adwin,linear_gradual_drift_1,,0.0266723454886555,0.0011436340841751,0.0338176593538808,2,5.804544925689697,2.9022724628448486,0,2,3,0.0,0.0,0.0,
2026-02-28 17:42:56,PSO_LSTM_page_hinkley,linear_gradual_drift_1,,0.0319520004811868,0.0019474987172749,0.0441304737939092,5,23.60268330574036,4.720536661148072,1,4,2,0.2,0.3333333333333333,0.25,-171.0
2026-02-28 17:48:51,PSO_LSTM_kswin,linear_gradual_drift_1,,0.0998922942950202,0.0234358447677682,0.1530877028626671,23,157.5357506275177,6.849380462065987,3,20,0,0.1304347826086956,1.0,0.2307692307692307,-164.33333333333334
2026-02-28 17:50:49,PSO_LSTM_adwin,linear_abrupt_drift_1,,0.1207970534821251,0.0393034497652834,0.19825097670701,16,41.17721009254456,2.5735756307840347,3,13,0,0.1875,1.0,0.3157894736842105,1.0
2026-02-28 17:53:52,PSO_LSTM_page_hinkley,linear_abrupt_drift_1,,0.2140221818068485,0.1108946163220408,0.3330084328092021,32,110.39538192749023,3.44985568523407,3,29,0,0.09375,1.0,0.1714285714285714,-130.0
2026-02-28 17:56:03,PSO_LSTM_kswin,linear_abrupt_drift_1,,0.063684923983327,0.0080684446414513,0.0898245213816995,19,59.4937539100647,3.131250205792879,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-126.0
2026-02-28 17:58:27,PSO_LSTM_adwin,nonlinear_gradual_drift_1,,0.0179109805624834,0.0005105034711773,0.0225943238707717,1,1.998729944229126,1.998729944229126,0,1,3,0.0,0.0,0.0,
2026-02-28 18:01:00,PSO_LSTM_page_hinkley,nonlinear_gradual_drift_1,,0.0179109805624834,0.0005105034711773,0.0225943238707717,1,2.082887649536133,2.082887649536133,0,1,3,0.0,0.0,0.0,
2026-02-28 18:04:42,PSO_LSTM_kswin,nonlinear_gradual_drift_1,,0.0325820844267127,0.0021155279126367,0.045994868329377,16,72.70245575904846,4.543903484940529,3,13,0,0.1875,1.0,0.3157894736842105,-35.333333333333336
2026-02-28 18:07:39,PSO_LSTM_adwin,nonlinear_abrupt_drift_1,,0.0420953684584817,0.0030798955687344,0.0554968068336773,6,24.33509826660156,4.055849711100261,3,3,0,0.5,1.0,0.6666666666666666,29.0
2026-02-28 18:11:02,PSO_LSTM_page_hinkley,nonlinear_abrupt_drift_1,,0.0766028377077308,0.0101601586481543,0.1007976123137566,25,59.71532440185547,2.488138516743978,3,22,0,0.12,1.0,0.2142857142857142,-110.33333333333331
2026-02-28 18:14:20,PSO_LSTM_kswin,nonlinear_abrupt_drift_1,,0.0947620034364645,0.0182250686216372,0.1350002541539728,19,52.2621009349823,2.750636891314858,3,16,0,0.1578947368421052,1.0,0.2727272727272727,-218.3333333333333
2026-02-28 18:26:00,PSO_LSTM_adwin,linear_gradual_drift_1,,0.0266723454886555,0.0011436340841751,0.0338176593538808,2,3.840626001358032,1.920313000679016,0,2,3,0.0,0.0,0.0,
2026-02-28 18:29:19,PSO_LSTM_page_hinkley,linear_gradual_drift_1,,0.0319520004811868,0.0019474987172749,0.0441304737939092,5,20.946895837783813,4.189379167556763,1,4,2,0.2,0.3333333333333333,0.25,-171.0
2026-02-28 18:34:46,PSO_LSTM_kswin,linear_gradual_drift_1,,0.0998922942950202,0.0234358447677682,0.1530877028626671,23,130.23792672157288,5.662518553111864,3,20,0,0.1304347826086956,1.0,0.2307692307692307,-164.33333333333334
2026-02-28 18:43:25,PSO_LSTM_adwin,linear_abrupt_drift_1,,0.1207970534821251,0.0393034497652834,0.19825097670701,16,44.228227853775024,2.764264240860939,3,13,0,0.1875,1.0,0.3157894736842105,1.0
